"","season_year","season","Cryto.Biovolume","Cyano.Biovolume","Diatoms.Biovolume","Greens.Biovolume","month_for_plot","date_for_plot"
"1",2004,"Autumn",166269.73787,825819.5944,23527727.41,288443.9328,10,2004-10-01
"2",2004,"Spring",587257.853915,170642.133955,1697388.63777667,108739.863716667,4,2004-04-01
"3",2004,"Summer",256584.762743333,3438244.47285,938769.441246667,238566.713766667,7,2004-07-01
"4",2004,"Winter",1178.116991,168122.4395,7412676.872,269826.5299,1,2004-01-01
"5",2005,"Autumn",332346.175330333,421005.643166667,8583075.76566667,219939.837266667,10,2005-10-01
"6",2005,"Spring",246282.459333333,325638.466133333,6300647.80994667,965553.565633333,4,2005-04-01
"7",2005,"Summer",2430396.37060667,1570103.59251033,84740.1575766667,310991.659089333,7,2005-07-01
"8",2005,"Winter",36993.8979133333,39798.9852633333,1522333.12983333,204414.8967,1,2005-01-01
"9",2006,"Autumn",189626.190305,1231245.59785,47771098.627,399471.0258,10,2006-10-01
"10",2006,"Spring",197695.299546667,31066.9157366667,13125636.9067633,258985.10872,4,2006-04-01
"11",2006,"Summer",2153104.11236667,1739257.13612,5203435.3986,380205.077353333,7,2006-07-01
"12",2006,"Winter",26795.824925,504363.42491,18916059.684,107566.329145,1,2006-01-01
"13",2007,"Autumn",280140.476323333,694396.212843333,1376283.1936,122083.10503,10,2007-10-01
"14",2007,"Spring",625475.39697,16678.7902055,4561098.42836667,457734.149366667,4,2007-04-01
"15",2007,"Summer",400528.384066667,1361555.23373333,1915825.17,463567.336266667,7,2007-07-01
"16",2007,"Winter",29566.6327436667,4041.59899366667,13141595.3983333,103596.805386667,1,2007-01-01
"17",2008,"Autumn",637968.7401,769945.395166667,7448516.73133333,865731.048033333,10,2008-10-01
"18",2008,"Spring",632792.033366667,92845.9540566667,11799367.0890667,2535489.80206667,4,2008-04-01
"19",2008,"Summer",1657138.6495,274261.537915,2925992.71423333,585871.675633333,7,2008-07-01
"20",2008,"Winter",405929.849033333,13731.5009835,5917311.19866667,810060.230566667,1,2008-01-01
"21",2009,"Autumn",712844.960554217,3543887.08866988,6648346.72576867,771517.957802289,10,2009-10-01
"22",2009,"Spring",804060.118133333,1450721.61826667,2196383.47246667,1279328.73276667,4,2009-04-01
"23",2009,"Summer",2061470.55673333,4354892.48074242,5862917.18335151,1641345.94633333,7,2009-07-01
"24",2009,"Winter",180969.67587,174606.294236667,10823291.0273333,685416.464766667,1,2009-01-01
"25",2010,"Autumn",128842.86584,72585.8405033333,4133016.414,131125.351126667,10,2010-10-01
"26",2010,"Spring",108645.447766667,38967.754704,6942197.59,201665.321756667,4,2010-04-01
"27",2010,"Summer",213305.72705,256943.542306667,3930625.16731333,230228.657733333,7,2010-07-01
"28",2010,"Winter",11914.40306,29062.86268,283572.683,80909.42516,1,2010-01-01
"29",2011,"Autumn",316318.425068333,50827.4362473333,3356590.69533333,326130.140203333,10,2011-10-01
"30",2011,"Spring",429452.388775714,40199.519312,1551508.82967622,358705.298236735,4,2011-04-01
"31",2011,"Summer",426293.960497273,389279.69614303,3465947.96876364,543454.581312121,7,2011-07-01
"32",2011,"Winter",52050.6151851515,22452.4077575758,4571590.67260606,234540.096144242,1,2011-01-01
"33",2012,"Autumn",319895.251284425,275076.803720354,6679406.29780531,372082.045824779,10,2012-10-01
"34",2012,"Spring",594958.958103659,10668.5190632927,653872.676253659,188677.565507073,4,2012-04-01
"35",2012,"Summer",338843.635157576,417906.167369697,4675553.60396061,537758.949615152,7,2012-07-01
"36",2012,"Winter",291385.584248469,26593.6056761735,3938765.29171429,179336.464145816,1,2012-01-01
"37",2013,"Autumn",370954.196182653,329137.443216327,6270308.12535878,410557.702134694,10,2013-10-01
"38",2013,"Spring",278933.46106,681013.40358,4211506.04909,306808.526565,4,2013-04-01
"39",2013,"Summer",464350.907716667,4533166.97732,4909383.18344,423474.472511967,7,2013-07-01
"40",2013,"Winter",219144.722882353,120231.161058824,8251224.08094118,170394.535335294,1,2013-01-01
"41",2014,"Autumn",357321.90219115,251151.499449204,6419638.71233628,239179.695585841,10,2014-10-01
"42",2014,"Spring",388543.105292035,1280774.17543186,4676191.46895664,108275.26122177,4,2014-04-01
"43",2014,"Summer",503559.6968,1025692.86856667,2450877.14489667,327298.712816667,7,2014-07-01
"44",2014,"Winter",191991.3214,158076.589577778,3924333.07291111,207667.837616667,1,2014-01-01
"45",2015,"Autumn",216730.747177699,156902.19988154,14962950.0599618,451421.068803186,10,2015-10-01
"46",2015,"Spring",318112.922425581,22341.2991029186,6112107.71433488,268972.913867907,4,2015-04-01
"47",2015,"Summer",517748.383866667,414199.979483333,1445579.82587667,558837.720696667,7,2015-07-01
"48",2015,"Winter",193778.21325,49967.0547055,14091673.13,81413.235025,1,2015-01-01
"49",2016,"Autumn",221887.3197,176623.637565,10165871.3353333,259434.782638333,10,2016-10-01
"50",2016,"Spring",589741.920365581,45535.1600260698,8148354.93997209,121157.993761395,4,2016-04-01
"51",2016,"Summer",360089.887738938,1233247.32120354,1439067.35874496,291800.803927788,7,2016-07-01
"52",2016,"Winter",49264.4746633333,13166.639307,138789.980193333,24523.0350133333,1,2016-01-01
"53",2017,"Winter",217097.6731,26797.76253,2639465.515,80540.561625,1,2017-01-01
