Date,Sum of Biovolume
11/2/2004,168122.4395
9/3/2004,256994.3151
20/4/2004,84289.95281
13/7/2004,440352.5557
17/8/2004,6436136.39
29/9/2004,1413469.637
19/10/2004,238169.5518
15/11/2004,115141.0824
15/12/2004,41489.89739
13/1/2005,1809.60537
22/2/2005,76097.45303
22/3/2005,140882.5034
19/4/2005,596232.5058
17/5/2005,239800.3892
14/6/2005,2952.181531
12/7/2005,2390093.603
23/8/2005,2317264.993
20/9/2005,1093469.846
19/10/2005,151180.085
15/11/2005,18366.9985
13/12/2005,23836.01352
7/2/2006,984890.8363
10/3/2006,30653.30956
18/4/2006,59165.25758
16/5/2006,3382.18007
13/6/2006,59172.34664
11/7/2006,73866.81272
22/8/2006,5084732.249
19/9/2006,1785052.862
31/10/2006,677438.3337
21/12/2006,3145.216748
9/1/2007,3679.867468
6/2/2007,5299.712765
13/4/2007,8233.868511
15/5/2007,25123.7119
12/6/2007,108331.6252
10/7/2007,1652186.452
22/8/2007,2324147.624
18/9/2007,1958947.691
16/10/2007,98400.92514
13/11/2007,25840.02239
8/1/2008,25529.35046
5/2/2008,1933.651507
18/3/2008,48768.36007
29/4/2008,120295.7953
13/5/2008,109473.7068
22/7/2008,468598.915
19/8/2008,79924.16083
2/9/2008,1578901.982
14/10/2008,453982.3216
11/11/2008,276951.8819
9/12/2008,273467.3114
20/1/2009,217075.7702
17/2/2009,33275.80111
31/3/2009,273233.5483
28/4/2009,3947071.92
26/5/2009,131859.3865
23/6/2009,184212.7365
7/7/2009,1884501.812
21/7/2009,2294613.671
4/8/2009,6897856.922
18/8/2009,6863932.486
1/9/2009,7210127.959
11/9/2009,2136010.179
29/9/2009,1539757.185
13/10/2009,100141.1503
10/11/2009,123313.4883
8/12/2009,29062.86268
19/3/2010,6490.893912
13/4/2010,75501.9387
11/5/2010,34910.4315
22/6/2010,84534.40502
20/7/2010,524613.6787
17/8/2010,161682.5432
14/9/2010,147900.9886
12/10/2010,41421.5193
9/11/2010,28435.01361
22/12/2010,22561.53588
7/1/2011,10180.42745
19/1/2011,7548.260735
1/2/2011,61147.37066
15/2/2011,10919.93117
2/3/2011,30041.37082
8/4/2011,90224.50647
19/4/2011,6796.843602
6/5/2011,53030.2724
17/5/2011,12941.82854
25/5/2011,50077.5554
7/6/2011,17034.58211
29/6/2011,40633.85203
26/7/2011,679955.0204
10/8/2011,902745.5466
23/8/2011,560370.3883
8/9/2011,118533.2377
20/9/2011,47665.02443
4/10/2011,29908.01921
25/10/2011,80883.81978
1/11/2011,19500.45213
15/11/2011,8474.064234
20/12/2011,11168.76705
10/1/2012,9969.162635
17/1/2012,1790.79691
31/1/2012,50046.75666
16/2/2012,18886.60926
28/2/2012,96891.2972
15/5/2012,4807.333502
29/5/2012,24935.39573
25/6/2012,177906.312
10/7/2012,208420.6137
24/7/2012,288122.4644
7/8/2012,178339.0773
21/8/2012,1026742.496
4/9/2012,179682.5404
2/10/2012,174288.1596
16/10/2012,304317.5934
1/11/2012,190420.6661
27/11/2012,190096.3423
8/1/2013,102729.0174
24/1/2013,117079.1666
5/2/2013,285464.266
5/3/2013,222307.4315
26/3/2013,108720.7435
16/4/2013,1362136.714
30/4/2013,1320584.846
14/5/2013,391317.2829
11/6/2013,55429.15924
25/6/2013,55174.67428
9/7/2013,666809.0874
26/7/2013,8709426.375
6/8/2013,6056997.078
20/8/2013,11655165.49
3/9/2013,1072541.756
1/10/2013,458438.0994
15/10/2013,373382.3294
29/10/2013,287824.4744
12/11/2013,88795.55166
26/11/2013,30268.85994
10/12/2013,145536.7332
7/1/2014,169094.3582
21/1/2014,135247.4925
4/2/2014,265107.0736
4/3/2014,363142.9631
17/3/2014,584386.64
1/4/2014,1628044.504
15/4/2014,1220401.105
29/4/2014,1904642.084
13/5/2014,347117.6679
27/5/2014,754616.9931
10/6/2014,542170.981
24/6/2014,717989.1865
8/7/2014,545636.2782
22/7/2014,883287.4147
5/8/2014,1548237.585
19/8/2014,1916835.766
2/9/2014,615124.0247
16/9/2014,508423.8732
2/10/2014,381733.3504
14/10/2014,112038.3331
28/10/2014,164946.3989
11/11/2014,76472.35902
26/11/2014,124321.1447
12/12/2014,90364.91066
17/2/2015,9569.198751
4/3/2015,19153.62743
14/4/2015,51868.97876
13/5/2015,16058.07028
9/6/2015,208388.9508
23/6/2015,152377.1036
7/7/2015,195283.1451
21/7/2015,415563.1636
4/8/2015,1090109.547
18/8/2015,423477.9668
1/9/2015,407053.6483
15/9/2015,100166.2007
29/9/2015,93710.65453
27/10/2015,75062.69423
26/11/2015,4230.829503
22/12/2015,26324.86703
19/1/2016,6782.260159
16/2/2016,6392.790732
29/3/2016,66786.74165
26/4/2016,9703.836472
10/5/2016,175071.854
24/5/2016,40499.25923
7/6/2016,154435.2502
21/6/2016,810105.5103
5/7/2016,2774269.34
19/7/2016,437050.6274
29/7/2016,1285093.899
16/8/2016,815636.3243
30/8/2016,464044.5281
10/4/2012,38645.11257
1/5/2012,1226.657828
18/9/2012,1076764.755
13/11/2012,256640.5632
31/3/2015,7727.846563
28/4/2015,36860.84875
26/5/2015,44656.09284
13/10/2015,61341.50979
10/11/2015,47468.09039
1/3/2016,7745.306628
13/9/2016,361179.7233
27/9/2016,187292.8815
11/10/2016,408376.7993
12/4/2016,12682.35764
25/10/2016,53407.15971
8/11/2016,17263.75378
22/11/2016,32221.5078
20/12/2016,22218.14787
6/12/2016,31377.37719
