SAMPLE_DATE,Level maod
08/01/2008,106.9919165
23/01/2008,107.4280885
05/02/2008,107.9237385
19/02/2008,107.462784
05/03/2008,107.5371315
18/03/2008,107.502436
01/04/2008,107.3071499
15/04/2008,107.2496545
29/04/2008,107.234785
13/05/2008,107.234785
29/05/2008,107.234785
10/06/2008,107.076177
24/06/2008,107.006786
08/07/2008,106.977047
27/07/2008,106.927482
04/08/2008,106.996873
19/08/2008,107.373567
02/09/2008,107.274437
17/09/2008,107.1574636
30/09/2008,106.967134
14/10/2008,107.0484206
28/10/2008,107.4776535
11/11/2008,107.2823674
25/11/2008,107.1009595
06/01/2009,107.7720696
04/02/2009,107.195133
03/03/2009,107.0613075
17/03/2009,107.314089
31/03/2009,107.304176
14/04/2009,107.324002
28/04/2009,107.304176
12/05/2009,107.472697
26/05/2009,107.393393
04/06/2009,107.373567
23/06/2009,107.3190455
07/07/2009,107.274437
21/07/2009,107.175307
04/08/2009,107.125742
18/08/2009,107.096003
01/09/2009,107.155481
11/09/2009,107.462784
29/09/2009,107.036525
13/10/2009,106.848178
28/10/2009,106.897743
10/11/2009,107.105916
24/11/2009,107.68087
08/12/2009,107.552001
22/12/2009,107.096003
05/01/2010,106.897743
19/01/2010,107.046438
16/02/2010,107.036525
30/03/2010,107.314089
13/04/2010,107.522262
27/04/2010,107.4082625
11/05/2010,107.403306
25/05/2010,107.38348
08/06/2010,107.343828
22/06/2010,107.096003
06/07/2010,107.234785
20/07/2010,107.274437
17/08/2010,107.076177
14/09/2010,106.947308
28/09/2010,106.9423515
12/10/2010,106.8927865
26/10/2010,106.897743
23/11/2010,107.135655
18/01/2011,107.611479
15/02/2011,107.829565
17/03/2011,107.552001
08/04/2011,107.631305
19/04/2011,107.552001
06/05/2011,107.423132
25/05/2011,107.423132
07/06/2011,107.373567
12/07/2011,107.2000895
26/07/2011,107.314089
10/08/2011,107.38348
23/08/2011,107.304176
08/09/2011,107.7722679
04/10/2011,106.937395
25/10/2011,107.056351
15/11/2011,106.877917
13/12/2011,107.48261
20/12/2011,107.353741
10/01/2012,107.214959
17/01/2012,106.838265
31/01/2012,107.056351
16/02/2012,107.076177
28/02/2012,107.115829
27/03/2012,107.135655
10/04/2012,107.195133
19/04/2012,107.264524
01/05/2012,107.462784
15/05/2012,107.512349
29/05/2012,107.413219
25/06/2012,107.433045
10/07/2012,107.472697
24/07/2012,107.48261
07/08/2012,107.274437
21/08/2012,107.1108725
04/09/2012,107.105916
18/09/2012,106.9522645
02/10/2012,107.0712205
16/10/2012,107.2397415
01/11/2012,107.254611
13/11/2012,107.08609
27/11/2012,107.2000895
08/01/2013,107.670957
24/01/2013,107.264524
05/02/2013,107.7393567
05/03/2013,107.155481
26/03/2013,107.294263
02/04/2013,107.3021934
16/04/2013,107.3289585
30/04/2013,107.4280885
14/05/2013,107.48261
28/05/2013,107.423132
11/06/2013,107.4578275
25/06/2013,107.294263
09/07/2013,107.224872
26/07/2013,107.155481
06/08/2013,107.0910465
20/08/2013,106.996873
03/09/2013,106.947308
01/10/2013,106.877917
15/10/2013,106.868004
29/10/2013,107.7748452
